data_coleta;ticker;descricao;patrimonio;p_vp;dy;dy_5anos;liquidez;tipo;segmento
2026-05-08;RBHG11;Rio Bravo Crédito Imobiliário High Grade;187,84 M;0,78;14,32;13,96;261,61 K;Fundo de Papel;Títulos e Valores Mobiliários
2026-05-08;CYLD11;Cyrela Desenvolvimento Logístico Fii;187,63 M;0,65;;;106,44 K;Fundo de Tijolo;Logístico / Indústria / Galpões
2026-05-08;AGRX11;Exes Araguaia;185,82 M;0,86;15,02;12,58;299,88 K;Outro;Fiagros
2026-05-08;FIIP11;Rb Capital Renda I;185,19 M;0,69;12,15;9,84;505,14 K;Fundo de Tijolo;Híbrido
2026-05-08;FIIP11B;Rb Capital Renda I (Old);184,00 M;0,81;;9,98;598,24 K;Fundo de Tijolo;Híbrido
2026-05-08;HBCR11;Hbc Renda Urbana;183,03 M;1,21;10,8;9,74;5,75 M;Fundo Misto;Lajes Corporativas
2026-05-08;ALZC11;Fii Alianzac;182,99 M;0,82;16,11;13,7;162,63 K;Fundo de Papel;Títulos e Valores Mobiliários
2026-05-08;PLCR11;Plural Recebíveis;175,91 M;0,94;4,48;11,98;612,26 K;Fundo de Papel;Títulos e Valores Mobiliários
2026-05-08;ARRI11;Átrio Reit Recebíveis Imobiliários;173,65 M;0,64;19,4;14,62;383,35 K;Fundo de Papel;Títulos e Valores Mobiliários
2026-05-08;RBHY11;Rio Bravo Crédito Imobiliário High Yield;173,50 M;0,85;16,19;14,71;399,54 K;Fundo de Papel;Títulos e Valores Mobiliários
2026-05-08;RZLC11;Riza Lecci;159,60 M;1,01;11,14;4,99;1,30 M;Fundo de Papel;Outros
2026-05-08;GCRA11;Galápagos Recebíveis Do Agronegócio;153,88 M;0,62;14,88;14,93;283,66 K;Outro;Fiagros
2026-05-08;FYTO11;Nch Brasil Recebíveis Imobiliários;151,65 M;0,88;14,23;14,05;142,19 K;Fundo de Papel;Títulos e Valores Mobiliários
2026-05-08;BICE11;Brio Crédito Estruturado;149,43 M;0,68;7,38;8,28;1,65 M;Fundo de Fundos;Títulos e Valores Mobiliários
2026-05-08;NCHB11;Nch Brasil Recebíveis Imobiliários (Old);148,98 M;0,82;;11,77;109,74 K;Fundo de Papel;Títulos e Valores Mobiliários
2026-05-08;BTML11;Barra Malls Fundo De Investimento Imobiliário;145,58 M;0,67;11,83;11,34;11,66 M;Fundo de Tijolo;Híbrido
2026-05-08;SPDE11;Whg Finvest Sp Realty;144,12 M;0,69;;;138,33 K;Fundo de Desenvolvimento;Residencial
2026-05-08;OUFF11;Ourinvest;142,52 M;0,78;;10,19;264,30 K;Fundo de Fundos;Títulos e Valores Mobiliários
2026-05-08;VVCO11;V2 Edifícios Corporativos;141,94 M;0,97;;1,79;5,58 M;Fundo de Tijolo;Lajes Corporativas
2026-05-08;EXES11;Exes;139,74 M;0,97;16,28;10,62;135,84 K;Fundo de Papel;Títulos e Valores Mobiliários
2026-05-08;PMIS11;Paramis Hedge Fund;139,30 M;0,85;14,32;13,72;294,90 K;Outro;Híbrido
